< GPS_RAW_INT {time_usec : 355363000, fix_type : 6, lat : -353622666, lon : 1491637817, alt : 606470, eph : 121, epv : 200, vel : 921, cog : 31133, satellites_visible : 10, alt_ellipsoid : 606470, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 355563000, fix_type : 6, lat : -353622555, lon : 1491637665, alt : 606470, eph : 121, epv : 200, vel : 936, cog : 31205, satellites_visible : 10, alt_ellipsoid : 606470, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 355763000, fix_type : 6, lat : -353622442, lon : 1491637511, alt : 606470, eph : 121, epv : 200, vel : 949, cog : 31219, satellites_visible : 10, alt_ellipsoid : 606470, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 355963000, fix_type : 6, lat : -353622327, lon : 1491637355, alt : 606470, eph : 121, epv : 200, vel : 960, cog : 31209, satellites_visible : 10, alt_ellipsoid : 606470, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 356363000, fix_type : 6, lat : -353622093, lon : 1491637038, alt : 606460, eph : 121, epv : 200, vel : 977, cog : 31201, satellites_visible : 10, alt_ellipsoid : 606460, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 356563000, fix_type : 6, lat : -353621975, lon : 1491636877, alt : 606460, eph : 121, epv : 200, vel : 984, cog : 31203, satellites_visible : 10, alt_ellipsoid : 606460, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 356763000, fix_type : 6, lat : -353621856, lon : 1491636715, alt : 606460, eph : 121, epv : 200, vel : 990, cog : 31206, satellites_visible : 10, alt_ellipsoid : 606460, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 356963000, fix_type : 6, lat : -353621737, lon : 1491636553, alt : 606460, eph : 121, epv : 200, vel : 994, cog : 31210, satellites_visible : 10, alt_ellipsoid : 606460, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 357363000, fix_type : 6, lat : -353621496, lon : 1491636227, alt : 606460, eph : 121, epv : 200, vel : 1002, cog : 31219, satellites_visible : 10, alt_ellipsoid : 606460, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 357563000, fix_type : 6, lat : -353621375, lon : 1491636063, alt : 606470, eph : 121, epv : 200, vel : 1005, cog : 31225, satellites_visible : 10, alt_ellipsoid : 606470, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 357763000, fix_type : 6, lat : -353621253, lon : 1491635900, alt : 606470, eph : 121, epv : 200, vel : 1007, cog : 31230, satellites_visible : 10, alt_ellipsoid : 606470, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 357963000, fix_type : 6, lat : -353621132, lon : 1491635735, alt : 606470, eph : 121, epv : 200, vel : 1008, cog : 31234, satellites_visible : 10, alt_ellipsoid : 606470, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 358363000, fix_type : 6, lat : -353620887, lon : 1491635407, alt : 606470, eph : 121, epv : 200, vel : 1010, cog : 31238, satellites_visible : 10, alt_ellipsoid : 606470, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 358563000, fix_type : 6, lat : -353620765, lon : 1491635242, alt : 606470, eph : 121, epv : 200, vel : 1009, cog : 31237, satellites_visible : 10, alt_ellipsoid : 606470, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 358763000, fix_type : 6, lat : -353620642, lon : 1491635077, alt : 606470, eph : 121, epv : 200, vel : 1009, cog : 31235, satellites_visible : 10, alt_ellipsoid : 606470, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
